venue,event_uid,venue_uid,start_date,end_date,lat,lon,address,city,zip,url,artist_uid,start_dt,end_dt,event_days,event_mth,season,flood_season,venue_event_groupby,venue_artist_groupby
Barbara Davis Gallery,306950,5231713,2019-02-15,2019-03-16,29.733177387755102,-95.39100818367349,4411 Montrose Boulevard,houston,77006.0,www.barbaradavisgallery.com,1905449.0,2019-02-15,2019-03-16,29,2,winter,no,110,80
Barnevelder Movement Arts Complex,4612400,6935439,2012-09-22,2012-09-22,29.7551722,-95.3503068,2201 Preston Street,houston,77003.0,www.barnevelder.org,12508132.0,2012-09-22,2012-09-22,0,9,fall,yes,6,7
Bauhaus Houston,454245,11167254,2019-07-26,2019-07-27,29.747535600000003,-95.36396359999999,1803 Pease Street,houston,77033.0,,,2019-07-26,2019-07-27,1,7,summer,yes,1,0
Bayou City Art Festival Memorial Park,7389420,15059868,2016-10-08,2016-10-09,29.7589382,-95.36769740000001,6501 Memorial Drive,houston,77007.0,www.bayoucityartfestival.com,,2016-10-08,2016-10-09,1,10,fall,yes,5,0
Bayou Music Center,3553291,8471094,2014-09-13,2014-09-14,29.7625821,-95.3675193,520 Texas Avenue,houston,77002.0,,3979934.0,2014-09-13,2014-09-14,1,9,fall,yes,1,3
BeDESIGN,12782712,4782189,2016-05-12,2016-06-11,29.7388457,-95.4109722,2016 West Alabama Street,houston,77098.0,,9674672.0,2016-05-12,2016-06-11,30,5,spring,yes,1,1
BeHuman Gallery,5166537,4458439,2012-09-07,2012-10-10,29.779018199999996,-95.5610984,"12848 Queensbury Lane, Suite 204",houston,77024.0,www.behumangallery.com,7983988.0,2012-09-07,2012-10-10,33,9,fall,yes,1,1
Bea Ying Projects Pop-Up Gallery,675870,4024092,2015-04-17,2015-05-15,29.781684610778104,-95.37355449999941,1606 White Oak Drive,houston,77009.0,beayingprojects.com,6575499.0,2015-04-17,2015-05-15,28,4,spring,no,34,39
Beauty Box,13975453,9034885,2013-07-05,2013-07-05,29.733684000000004,-95.3657742916667,3302 Dowling Street,houston,77004.0,,11364310.0,2013-07-05,2013-07-05,0,7,summer,yes,1,1
Beck Center,598465,9526366,2018-04-12,2018-04-12,29.6998273,-95.5299762,8100 Roos Road,houston,77036.0,,,2018-04-12,2018-04-12,0,4,spring,no,1,0
Bering Art Collective,282513,12292027,2007-07-21,2007-08-10,29.775376899999998,-95.3765494,"1824 Spring Street, #119",houston,77007.0,www.beringart.com,969174.0,2007-07-21,2007-08-10,20,7,summer,yes,23,36
Bermac Arts,2135338,16087176,2019-03-09,2019-03-30,29.7346417,-95.3798594,4101 San Jacinto Street,houston,77004.0,www.facebook.com/bermac.arts,450086.0,2019-03-09,2019-03-30,21,3,spring,no,2,12
Betz Gallery,12462116,9378732,2010-07-09,2010-08-06,29.75338284,-95.39438396,1208 West Gray Street,houston,77019.0,www.betzgallery.com,6664265.0,2010-07-09,2010-08-06,28,7,summer,yes,4,1
Bevy Lab,14733203,3399400,2016-10-25,2016-10-25,29.767881300000003,-95.35615770000001,1310 Nance Street,houston,77002.0,,12234948.0,2016-10-25,2016-10-25,0,10,fall,yes,1,1
Bill's Junk,864204,14207979,2019-09-06,2019-09-21,29.790919551020398,-95.3872143061224,1125 East 11th Street,houston,77009.0,www.billdavenport.com/junkstore/junkstore.html,3556628.0,2019-09-06,2019-09-21,15,9,fall,yes,29,21
BioScience Research Collaborative (Rice University),3702961,12705346,2017-11-16,2018-04-08,29.683784000000003,-95.4229244,6500 Main Street,houston,77030.0,,1131213.0,2017-11-16,2018-04-08,143,11,fall,no,5,9
Bisong Art Gallery,2419549,14632234,2018-02-17,2018-02-17,29.7674761,-95.3533453,1305 Sterrett Street,houston,77002.0,,334364.0,2018-02-17,2018-02-17,0,2,winter,no,6,3
Black Barbie,5938828,12904231,2016-01-22,2016-01-22,29.751521500000003,-95.33570440000001,3621 Canal Street,houston,77003.0,www.facebook.com/DollsPlay/,696040.0,2016-01-22,2016-01-22,0,1,winter,no,1,4
Black Heritage Gallery,5000798,16518064,2013-11-30,2013-11-30,29.721504306122497,-95.37930244897959,5408 Almeda Drive,houston,77004.0,,3979934.0,2013-11-30,2013-11-30,0,11,fall,no,1,4
Black Hole Coffee House,14938838,9774287,2018-03-24,2018-03-24,29.7324901,-95.3971845,4504 Graustark Street,houston,77006.0,m.facebook.com/blackhole.coffeehouse/,,2018-03-24,2018-03-24,0,3,spring,no,1,0
Black Swan Screen Printing,14670298,15297319,2012-06-08,2012-06-08,29.775523200000002,-95.3767088,"1824 Spring Street, #103",houston,77007.0,www.blackswanscreenprinting.com,1629165.0,2012-06-08,2012-06-08,0,6,summer,yes,2,10
Blackburn Music,16671095,13240030,2012-07-14,2012-09-15,29.733512,-95.39295190000001,"4314 Yoakum Street, Suite 301",houston,77006.0,www.Blackburn-Music.com,1485.0,2012-07-14,2012-09-15,63,7,summer,yes,1,7
Blaffer Art Museum (UH),138721,6569912,2010-11-11,2010-11-13,29.722351399999997,-95.3425217,"4173 Elgin Street, 120 Fine Arts Building",houston,77204.0,blafferartmuseum.org,6206020.0,2010-11-11,2010-11-13,2,11,fall,no,116,217
Blaffer Museum's Window Into Houston,1033499,6347849,2016-02-03,2016-04-27,29.764958,-95.36126800000001,110 Milam Street,houston,77002.0,www.class.uh.edu/blaffer/,806208.0,2016-02-03,2016-04-27,84,2,winter,no,17,25
Blank Check Gallery,450673,6470334,2017-09-29,2017-10-29,29.771869,-95.3840617,"1502 Sawyer Street, #141",houston,77007.0,www.blankcheck.gallery,5949363.0,2017-09-29,2017-10-29,30,9,fall,yes,13,13
Blinn College Art Gallery,1528949,332744,2012-03-30,2012-05-12,29.767259999999997,-96.1425199,3701 Outlet Center Drive,sealy,77474.0,www.blinn.edu,15115764.0,2012-03-30,2012-05-12,43,3,spring,no,2,10
Block 7 Wine Company,6001440,561716,2011-08-06,2011-08-06,29.7684850816327,-95.4093352653061,720 Shepherd Drive,houston,77007.0,www.block7wineco.com,557707.0,2011-08-06,2011-08-06,0,8,summer,yes,2,11
Blossom Street Gallery,10270861,2222642,2009-07-11,2009-08-15,29.767443159868197,-95.40962831087352,4809 Blossom Street,houston,77007.0,,11807137.0,2009-07-11,2009-08-15,35,7,summer,yes,1,2
Bluffer Gallery,3051594,12102841,2009-09-17,2009-10-08,29.725162100000006,-95.344576,4800 Calhoun Road,houston,77204.0,,8902533.0,2009-09-17,2009-10-08,21,9,fall,yes,4,20
Bmoody Art Gallery,437032,5213004,2012-05-17,2012-05-18,29.747786100000003,-95.37979200000001,97 Dennis Street,houston,77006.0,bmoodyart.com,12822934.0,2012-05-17,2012-05-18,1,5,spring,yes,1,1
Bogan Gallery,1842253,15893567,2010-07-31,2010-08-21,29.304663899999998,-94.7929838,2217 Postoffice Street,galveston,77550.0,www.bogangallery.com,10571399.0,2010-07-31,2010-08-21,21,7,summer,yes,11,12
Boheme Cafe and Wine Bar,1278315,2997761,2011-07-28,2011-07-28,29.748142897959198,-95.38585532653059,307 Fairview Street,houston,77006.0,barboheme.com,7458106.0,2011-07-28,2011-07-28,0,7,summer,yes,1,1
Bohemeo's,746514,14834996,2011-06-07,2011-07-01,29.7347805,-95.3314365,"708 Telephone Road, Suite E",houston,77023.0,www.bohemeos.com/index.html,7083420.0,2011-06-07,2011-07-01,24,6,summer,yes,1,3
Booker-Lowe Gallery,590218,3035397,2008-05-31,2008-07-03,29.766020755102,-95.40749883673469,4623 Feagan Street,houston,77007.0,www.bookerlowegallery.com,8659068.0,2008-05-31,2008-07-03,33,5,spring,yes,39,49
Boom Boom Room,8452096,1981613,2011-12-11,2011-12-11,29.809253392857105,-95.39925092857142,2518 Yale Street,houston,77008.0,theboomboomroomhouston.com,15916817.0,2011-12-11,2011-12-11,0,12,winter,no,1,1
"Border, USA | MX",4537582,2854766,2015-10-24,2015-10-24,29.7417869,-95.38010140000002,1302 Dennis Street,houston,77004.0,,,2015-10-24,2015-10-24,0,10,fall,yes,1,0
Bosque Gallery (LSC CyFair),67500,13360907,2010-04-29,2010-05-06,29.910732899999996,-95.6900105,"9191 Barker Cypress Road, Suite 101",cypress,77433.0,cyfair.lonestar.edu/bosquegallery,15722058.0,2010-04-29,2010-05-06,7,4,spring,no,32,34
Brasil Cafe,943901,11778569,2015-01-25,2015-01-25,29.7426376938775,-95.40215842857141,2604 Dunlavy Street,houston,77006.0,brasilcafe.net,2395695.0,2015-01-25,2015-01-25,0,1,winter,no,7,18
Brazos Bookstore,535126,8710352,2017-11-02,2017-11-02,29.7254303333333,-95.4153008333333,2421 Bissonnet Street,houston,77005.0,www.brazosbookstore.com,2067971.0,2017-11-02,2017-11-02,0,11,fall,no,9,8
Brown Auditorium Theater (MFAH),33955,15823095,2012-03-31,2012-03-31,29.7256798,-95.39048249999999,1001 Bissonnet Street,houston,77005.0,,5741257.0,2012-03-31,2012-03-31,0,3,spring,no,50,85
Bryan Miller Gallery,229080,9873468,2012-01-13,2012-02-18,29.7246365,-95.39056190000001,3907 Main Street,houston,77002.0,www.bryanmillergallery.com,8444833.0,2012-01-13,2012-02-18,36,1,winter,no,37,75
Buchanan Gallery,569258,113940,2013-03-09,2013-04-13,29.303326600000002,-94.79601629999999,220 25th Street,galveston,77550.0,www.buchanangallery.com,8166547.0,2013-03-09,2013-04-13,35,3,spring,no,29,40
Buffalo Bayou Art Park,3923409,5619990,2008-12-15,2008-12-15,29.771251122449,-95.4126804693878,5106 Center Street,houston,77007.0,www.bbap-houston.org,2093700.0,2008-12-15,2008-12-15,0,12,winter,no,8,7
Buffalo Bayou Brewing Company,13298055,2092188,2012-09-21,2012-09-21,29.776134999999996,-95.415983,5301 Nolda Street,houston,77007.0,www.buffbrew.com,456192.0,2012-09-21,2012-09-21,0,9,fall,yes,1,11
Buffalo Bayou Park,70635,1767648,2019-02-20,2019-04-30,29.7625113,-95.3882,Allen Parkway @ Gillette Street,houston,77019.0,,,2019-02-20,2019-04-30,69,2,winter,no,1,0
Buffalo Bayou Park Cistern,7653778,3752483,2018-05-12,2019-01-13,29.7618375,-95.3757073,105 Sabine Street,houston,77007.0,buffalobayou.org/visit/destination/the-cistern/,7481782.0,2018-05-12,2019-01-13,246,5,spring,yes,2,2
Burning Bones Press,801573,8142945,2013-08-03,2013-08-03,29.798454693877602,-95.39903334693881,1518 Yale Street,houston,77008.0,www.burningbonespress.com,4000027.0,2013-08-03,2013-08-03,0,8,summer,yes,13,13
Bush Intercontinental Airport Control Tower,7635604,10490485,2018-11-01,2019-01-01,29.988057,-95.349879,S Terminal Road,houston,77032.0,,539518.0,2018-11-01,2019-01-01,61,11,fall,no,1,1
Byzantine Fresco Chapel,9839039,12715645,2017-05-21,2018-10-28,29.736448499999998,-95.39528385,4011 Yupon Street,houston,77006.0,,6776931.0,2017-05-21,2018-10-28,525,5,spring,yes,4,4
Calico Print Co.,14463638,11868758,2015-09-25,2015-09-27,29.745843,-95.34753,1004 Palmer Street,houston,77003.0,,,2015-09-25,2015-09-27,2,9,fall,yes,1,0
Campus Gallery (San Jacinto College South),2275822,3781505,2017-02-27,2017-04-07,29.6040443,-95.2284853,"13725 Beamer Road, Marie Flickinger Fine Arts Center",houston,77089.0,,12660347.0,2017-02-27,2017-04-07,39,2,winter,no,11,8
Canal Street Gallery,300736,75028,2010-02-05,2010-03-05,29.758776,-95.347585,2219 Canal Street,houston,77003.0,canalstreetgallery.com/joomla/index.php,177569.0,2010-02-05,2010-03-05,28,2,winter,no,30,54
Capitol Street Gallery,1396719,10811152,2016-09-03,2016-09-09,29.736316,-95.308591,6701 Capitol Street,houston,77011.0,,13583199.0,2016-09-03,2016-09-09,6,9,fall,yes,8,15
Capsule Gallery,884161,12050612,2016-02-26,2016-04-02,29.7367831,-95.3806682,3909 Main Street,houston,77002.0,,5946401.0,2016-02-26,2016-04-02,36,2,winter,no,11,14
Cardoza Fine Art,1384552,8372249,2013-07-06,2013-07-20,29.7681062244898,-95.3539984081633,1320 Nance Street,houston,77002.0,,5509787.0,2013-07-06,2013-07-20,14,7,summer,yes,35,47
Carnegie Branch (Houston Public Library),11645689,876417,2018-02-08,2018-02-08,29.782072600000003,-95.3607295,1050 Quitman Street,houston,77009.0,houstonlibrary.org/location/carnegie-neighborhood-library-and-center-learning,,2018-02-08,2018-02-08,0,2,winter,no,1,0
Carol Piper Rugs,1427686,8673725,2014-10-08,2014-11-05,29.752910999999997,-95.402047,1809 West Gray Street,houston,77019.0,carolpiperrugs.com,,2014-10-08,2014-11-05,28,10,fall,yes,1,0
Caroline Collective,1985877,557630,2013-02-01,2013-03-01,29.729643846153802,-95.38283584615391,4820 Caroline Street,houston,77004.0,carolinecollective.cc,5554283.0,2013-02-01,2013-03-01,28,2,winter,no,11,27
Catacomb,791961,12821536,2015-09-11,2015-09-12,29.757646,-95.347863,"2315 Commerce Street, Studio 7",houston,77002.0,squareup.com/market/catacomb,2115273.0,2015-09-11,2015-09-12,1,9,fall,yes,4,4
Catalina Coffee,464730,15070720,2014-04-12,2014-05-12,29.768059,-95.380667,2201 Washington Avenue,houston,77007.0,,4774594.0,2014-04-12,2014-05-12,30,4,spring,no,2,3
Catherine Couturier Gallery,310796,15797266,2013-12-07,2014-01-11,29.7347642653061,-95.41915624489799,2635 Colquitt Street,houston,77098.0,www.johnclearygallery.com,10666700.0,2013-12-07,2014-01-11,35,12,winter,no,41,43
Central Art Gallery (HCC Central),1340540,15506325,2007-10-08,2007-11-06,29.7375592857143,-95.37506677551019,3517 Austin Street,houston,77004.0,ccollege.hccs.edu/instru/fineart/art.htm,11281860.0,2007-10-08,2007-11-06,29,10,fall,yes,13,40
Cha Champagne and Wine Bar,5687945,16545853,2012-05-15,2012-05-15,29.7585163,-95.3985743,"810 Waugh Drive, No. 100",houston,77019.0,,1061638.0,2012-05-15,2012-05-15,0,5,spring,yes,1,2
Char Bar,3144442,7832687,2012-03-13,2012-06-01,29.762611265306102,-95.361623877551,305 Travis Street,houston,77002.0,,9152327.0,2012-03-13,2012-06-01,80,3,spring,no,1,1
Charlton Community Center,2491460,3907646,2015-02-17,2015-02-17,29.687663,-95.27449399999999,8200 Park Place Boulevard,houston,77017.0,,,2015-02-17,2015-02-17,0,2,winter,no,1,0
Cherie Flores Garden Pavilion,9194504,15231492,2018-01-19,2018-01-19,29.7207922,-95.38641329999999,1500 Hermann Drive,houston,77004.0,www.hermannpark.org/poi/139/,,2018-01-19,2018-01-19,0,1,winter,no,1,0
Cherryhurst House,567929,10316129,2015-10-04,2016-05-01,29.7451865714286,-95.3972407142857,1603 Cherryhurst Street,houston,77006.0,,2253466.0,2015-10-04,2016-05-01,210,10,fall,yes,6,6
Chick and Chica Shop Window,3620462,12723328,2011-09-15,2011-09-15,29.7384017,-95.3799932,3710 Main Street,houston,77002.0,,8996706.0,2011-09-15,2011-09-15,0,9,fall,yes,1,1
Children's Museum,11934567,10293201,2012-01-28,2012-01-28,29.7225873,-95.3851747148551,1500 Binz Street,houston,77006.0,www.cmhouston.org,,2012-01-28,2012-01-28,0,1,winter,no,1,0
Chinelli La Fratta Gallery,3265132,15322290,2014-03-11,2014-04-05,29.773616632653102,-95.3761267142857,1813 Crockett Street,houston,77007.0,,8674763.0,2014-03-11,2014-04-05,25,3,spring,no,1,1
Chuntaro Jones Studio,9422857,5635178,2011-10-22,2011-11-05,29.7729894343434,-95.3836425252525,2500 Summer Street,houston,77007.0,,15464849.0,2011-10-22,2011-11-05,14,10,fall,yes,2,3
Cindy Lisica Gallery,371990,10439642,2018-05-19,2018-06-23,29.7327623,-95.3907816,4411 Montrose Boulevard,houston,77006.0,cindy-lisica.squarespace.com,6045696.0,2018-05-19,2018-06-23,35,5,spring,yes,37,23
City Artworks,3317621,12482980,2015-02-27,2015-03-20,29.794148,-95.483721,1330-R Wirt Road,houston,77055.0,,835790.0,2015-02-27,2015-03-20,21,2,winter,no,2,2
Civic TV Collective,712452,1831244,2015-04-10,2015-05-06,29.749702734693898,-95.3563748367347,2119 Dallas Street,houston,77003.0,www.civictvcollective.com,302533.0,2015-04-10,2015-05-06,26,4,spring,no,9,14
Civic TV Laboratories,2129524,7462795,2018-03-17,2018-05-05,29.779209299999998,-95.3641339,2108 Freeman Street,houston,77009.0,,15822772.0,2018-03-17,2018-05-05,49,3,spring,no,8,6
Clarke & Associates,2737460,2101824,2018-05-05,2018-08-24,29.791003399999997,-95.39724620000001,301 East 11th Street,houston,77008.0,www.clarkeassoc.com,1088992.0,2018-05-05,2018-08-24,111,5,spring,yes,13,7
Cloister Gallery (Christ Church Cathedral),2401440,6302098,2019-02-15,2019-03-22,29.7593754285714,-95.36138934693881,1117 Texas Avenue,houston,77002.0,,2920866.0,2019-02-15,2019-03-22,35,2,winter,no,11,10
College Art Gallery (HCC Northline),1001815,15123524,2018-03-06,2018-04-05,29.8326408021978,-95.3760340989011,8001 Fulton Street,houston,77022.0,northeast.hccs.edu,7010360.0,2018-03-06,2018-04-05,30,3,spring,no,14,28
College of the Mainland Art Gallery (CoM),19415,3550312,2011-03-03,2011-03-31,29.3958545,-94.99962070000001,1200 Amburn Road,texas city,77591.0,www.com.edu/arts-culture/gallery.php,4653434.0,2011-03-03,2011-03-31,28,3,spring,no,64,69
College of the Mainland Art Gallery Satellite (CoM),769612,9267027,2015-09-15,2015-11-05,29.3958545,-94.99962070000001,1200 Amburn Road,texas city,77591.0,www.com.edu/gallery,4358610.0,2015-09-15,2015-11-05,51,9,fall,yes,2,2
Commerce Street Artists Warehouse,1046499,5811036,2007-10-13,2007-11-03,29.757275,-95.348541,2315 Commerce Street,houston,77002.0,www.commercestreetartistswarehouse.com,1854402.0,2007-10-13,2007-11-03,21,10,fall,yes,10,31
Commerce Street Gallery,2193303,2873662,2014-02-06,2014-03-03,29.760131,-95.353352,1701 Commerce Street,houston,77002.0,www.commercestgallery.com/location.html,3979934.0,2014-02-06,2014-03-03,25,2,winter,no,2,2
Commune,5733040,6425244,2012-05-11,2012-05-12,29.7272886610268,-95.4156053071649,2442 Bartlett Street,houston,77098.0,,9869549.0,2012-05-11,2012-05-12,1,5,spring,yes,1,1
Concourse Gallery,8269960,6009405,2015-09-23,2015-11-22,29.755260999999997,-95.3726087,1600 Smith Street,houston,77002.0,,,2015-09-23,2015-11-22,60,9,fall,yes,1,0
Conroe Art League,16978,11227709,2017-11-06,2017-11-22,30.311116600000002,-95.45682629999999,127 Simonton Street,conroe,77301.0,www.conroeartleague.com,12436005.0,2017-11-06,2017-11-22,16,11,fall,no,7,1
Contemporary Art Gallery (Houston Baptist University),554399,14312615,2013-09-14,2013-10-14,29.692987699999996,-95.5147577,7502 Fondren Road,houston,77074.0,www.hbu.edu/About-HBU/The-Campus/Facilities/University-Academic-Center/UAC-Art-Gallery.aspx,3471312.0,2013-09-14,2013-10-14,30,9,fall,yes,17,14
Contemporary Arts Museum Houston,100737,6618085,2011-09-30,2012-01-08,29.726739755102,-95.391116,5216 Montrose Boulevard,houston,77006.0,www.camh.org,12566285.0,2011-09-30,2012-01-08,100,9,fall,yes,161,271
Continental Club,7608923,8459271,2012-06-30,2012-06-30,29.738568199999996,-95.37992890000001,3700 Main Street,houston,77002.0,www.continentalclub.com/Houston.html,,2012-06-30,2012-06-30,0,6,summer,yes,1,0
Cosentino Center,9780557,12257063,2017-01-19,2017-01-19,29.7953243,-95.56527159999999,"1350 West Sam Houston Parkway, Suite 150",houston,77043.0,,3161181.0,2017-01-19,2017-01-19,0,1,winter,no,1,1
Craft Salon,11695808,3510342,2012-11-08,2012-11-08,29.7455709387755,-95.40200708163259,2307 Dunlavy Street,houston,77006.0,www.craftsalonhouston.com,14387958.0,2012-11-08,2012-11-08,0,11,fall,no,1,1
Crosspoint Community Church,3554750,3062173,2012-05-06,2012-05-06,29.766331800000003,-95.7422109,700 South Westgreen Boulevard,katy,77450.0,,809395.0,2012-05-06,2012-05-06,0,5,spring,yes,1,2
Cullen Performance Hall (UH),1293027,16083807,2019-03-05,2019-03-05,29.7202399,-95.3431911,4800 University Drive,houston,77004.0,www.uh.edu/cullen-performance-hall,,2019-03-05,2019-03-05,0,3,spring,no,1,0
Cullen Theatre Hall (University of St. Thomas),15217026,6126382,2014-06-03,2014-06-03,29.736998999999997,-95.393648,4001 Mt. Vernon Street,houston,77006.0,,10209415.0,2014-06-03,2014-06-03,0,6,summer,yes,1,2
Curation Myth Ministries (Box 13 Art Space),11099420,14806627,2011-06-18,2011-06-18,29.737428,-95.30816999999999,6700 Harrisburg Boulevard,houston,77011.0,curationmyth.blogspot.com,4199480.0,2011-06-18,2011-06-18,0,6,summer,yes,1,9
Cy Twombly Gallery (Menil Collection),5671626,10930357,2018-03-07,2018-03-07,29.736863011494304,-95.398284908046,1501 Branard Street,houston,77006.0,,11236753.0,2018-03-07,2018-03-07,0,3,spring,no,2,1
Cynthia Woods Mitchell Center (UH),908798,10136979,2019-04-05,2019-04-05,29.854891600000002,-95.4564728,4800 Calhoun Road,houston,77091.0,www.mitchellcenterforarts.org,10715914.0,2019-04-05,2019-04-05,0,4,spring,no,11,12
Czech Center Museum,602439,7128662,2015-01-24,2015-04-25,29.729198122449002,-95.38446704081629,4920 San Jacinto Street,houston,77004.0,,14881110.0,2015-01-24,2015-04-25,91,1,winter,no,6,2
D-Vine Salon & Spa,9591915,15279154,2018-04-11,2018-04-30,29.7423846,-95.41294930000001,2147 Westheimer Road,houston,77098.0,www.d-vinehouston.com,7472765.0,2018-04-11,2018-04-30,19,4,spring,no,1,1
Daniel Sandoval Contemporary,16194100,15902093,2007-10-04,2007-10-31,29.7908041428571,-95.39607826530609,223 East 11th Street,houston,77008.0,www.danielsandovalcontemporary.com,1622451.0,2007-10-04,2007-10-31,27,10,fall,yes,1,2
Daniel-Kayne,7938521,7028847,2010-03-27,2010-04-17,29.749784100000003,-95.3537195,"2300 McKinney, #403",houston,77003.0,www.daniel-kayne.com,14841925.0,2010-03-27,2010-04-17,21,3,spring,no,2,1
Darke Gallery,152708,3887462,2013-06-07,2013-07-13,29.7656385185185,-95.41620570370371,320 Detering Street,houston,77007.0,www.darkegallery.com,8055893.0,2013-06-07,2013-07-13,36,6,summer,yes,58,72
David Shelton Gallery,87368,712212,2014-09-05,2014-10-04,29.7328175,-95.39081259999999,"4411 Montrose Boulevard, Suite B",houston,77006.0,davidsheltongallery.com,12968636.0,2014-09-05,2014-10-04,29,9,fall,yes,76,86
Davis Hardware,1713350,5834787,2011-06-18,2011-06-18,29.7896305555556,-95.38772388888891,1028 Studewood Street,houston,77008.0,www.davishardware.com,11245983.0,2011-06-18,2011-06-18,0,6,summer,yes,1,2
DeSantos Gallery,500295,3143806,2011-06-25,2011-07-25,29.734521899999997,-95.39673549999999,1724-A Richmond Avenue,houston,77098.0,www.desantosgallery.com,10709794.0,2011-06-25,2011-07-25,30,6,summer,yes,34,46
Dean Day Gallery,10853018,15141597,2019-05-18,2019-06-22,29.734733000000002,-95.419673,2639 Colquitt Street,houston,77098.0,www.deandaygallery.com,,2019-05-18,2019-06-22,35,5,spring,yes,1,0
Dean's Credit Clothing Montrose,7545543,1882788,2009-09-05,2009-10-12,29.7481414285714,-95.38589842857141,315 Fairview Street,houston,77006.0,,14533558.0,2009-09-05,2009-10-12,37,9,fall,yes,1,1
Deborah Colton Gallery,31445,12757578,2008-11-15,2009-01-03,29.7277956,-95.41597,2445 North Boulevard,houston,77098.0,www.deborahcoltongallery.com,5746522.0,2008-11-15,2009-01-03,49,11,fall,no,108,142
Decorative Center of Houston,1933542,8202383,2016-10-27,2016-11-19,29.762297953180298,-95.46603052060009,5120 Woodway Drive,houston,77056.0,www.decorativecenter.com,2742991.0,2016-10-27,2016-11-19,23,10,fall,yes,3,4
Deerslug Studio,6529375,4683018,2016-11-19,2016-11-19,29.757931,-95.3526946,2020 Commerce Street,houston,77002.0,www.facebook.com/Deerslug-Studio-455371251303475/,,2016-11-19,2016-11-19,0,11,fall,no,2,0
Design Within Reach,5302482,14232958,2010-08-14,2010-08-14,29.7531665,-95.40676975,1956 West Gray Street,houston,77019.0,www.dwr.com,12739223.0,2010-08-14,2010-08-14,0,8,summer,yes,2,2
DesignWorks Gallery,5177648,14807606,2009-07-11,2009-08-16,29.304913899999995,-94.792005,2119A Postoffice Street,galveston,77550.0,www.designworks-gallery.com,522804.0,2009-07-11,2009-08-16,36,7,summer,yes,4,4
Deutser Art Gallery,5799849,12581479,2008-09-07,2008-10-24,29.675236199999997,-95.4861775,5601 South Braeswood Boulevard,houston,77096.0,www.jcchouston.org/index.php?submenu=arts_c,5891948.0,2008-09-07,2008-10-24,47,9,fall,yes,2,3
Devin Borden Gallery,253828,9743125,2014-01-17,2014-02-18,29.7367831,-95.38285690000001,3909 Main Street,houston,77002.0,www.devinborden.com,10490059.0,2014-01-17,2014-02-18,32,1,winter,no,68,38
Dillon Kyle Architects,740105,14725459,2018-02-23,2018-03-31,29.738950399999997,-95.39982629999999,1500 West Alabama Street,houston,77006.0,www.dkarc.com,3497527.0,2018-02-23,2018-03-31,36,2,winter,no,5,5
Dimmitt Contemporary,9984910,3707130,2019-06-13,2019-07-25,29.737532,-95.4381927,"3637 West Alabama Street, #160",houston,77027.0,dimmittcontemporaryart.com,,2019-06-13,2019-07-25,42,6,summer,yes,1,0
Discovery Green,168235,4011713,2012-01-07,2012-01-07,29.754134000000004,-95.359323,1500 McKinney Street,houston,77010.0,www.discoverygreen.com,12732651.0,2012-01-07,2012-01-07,0,1,winter,no,28,50
District Art Gallery,1010541,3905084,2019-08-09,2019-08-09,29.7678767,-95.3562985,810 Richey Street,houston,77002.0,www.districtartgalleries.com,8739393.0,2019-08-09,2019-08-09,0,8,summer,yes,1,1
DiverseWorks,68305,1647308,2014-09-10,2014-09-10,29.735517100000003,-95.38119040000001,"3400 Main Street, Suite 292",houston,77002.0,diverseworks.org,4312081.0,2014-09-10,2014-09-10,0,9,fall,yes,145,351
Domy Books,293235,8848008,2008-05-09,2008-06-27,29.742694666666697,-95.4024456666667,1709 Westheimer Road,houston,77098.0,www.domystore.com,1481418.0,2008-05-09,2008-06-27,49,5,spring,yes,42,84
Domy Houston,881699,11785671,2012-03-24,2012-04-26,29.742694666666697,-95.4024456666667,1709 Westheimer Road,houston,77098.0,domybookstore.com,5732696.0,2012-03-24,2012-04-26,33,3,spring,no,11,19
DoubleTree by Hilton Hotel Houston Downtown,6573049,8479067,2012-03-20,2012-03-20,29.758435,-95.371211,400 Dallas Street,houston,77002.0,doubletree1.hilton.com/en_US/dt/hotel/HOUDBDT-DoubleTree-by-Hilton-Hotel-Houston-Downtown-Texas/index.do,,2012-03-20,2012-03-20,0,3,spring,no,1,0
Dudley Recital Hall (UH),139335,1300447,2018-02-08,2018-02-08,29.7203625,-95.3435584,"4800 Calhoun Road, 1st Floor, Fine Arts Building",houston,77004.0,,9671341.0,2018-02-08,2018-02-08,0,2,winter,no,11,9
EMERGEncy Room Gallery,246370,2271027,2016-11-10,2016-11-30,29.7173941,-95.4018312,6100 Main Street,houston,77005.0,studioart.rice.edu/Content.aspx?id=2147483734,829537.0,2016-11-10,2016-11-30,20,11,fall,no,13,13
EaDo Workspaces,626381,984952,2018-01-27,2018-01-27,29.745280800000003,-95.34505340000001,3420 Rusk Street,houston,77003.0,,,2018-01-27,2018-01-27,0,1,winter,no,1,0
Earl Staley Studio,4436995,16761048,2012-02-16,2012-02-16,29.7444937346939,-95.3746728979592,2711 Main Street,houston,77002.0,,3504590.0,2012-02-16,2012-02-16,0,2,winter,no,2,2
East End Studio Gallery,300668,9041257,2012-10-05,2012-10-05,29.7347805,-95.3314365,"708 Telephone Road, Suite C",houston,77023.0,www.eestudiogallery.com/1.html,8761747.0,2012-10-05,2012-10-05,0,10,fall,yes,44,113
